"행정구역(시도)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017 p)
"행정구역(시도)별",1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원),1인당 개인소득 (천원)
"전국",8602,8964,9419,9848,10493,11198,11656,12407,12883,13173,14068,14706,15256,15799,16394,17222,17653,18448
"서울특별시",10119,10616,11185,11787,12493,13453,13955,15130,15401,15405,16495,17215,18018,18565,19104,19962,20506,21429
"부산광역시",8231,8539,9024,9364,9835,10581,11077,11825,12469,12791,13672,14694,15430,15972,16369,17170,17599,18332
"대구광역시",8253,8481,8886,9261,9711,10482,10925,11562,12017,12315,13376,14183,14635,15047,15851,16686,16987,17568
"인천광역시",7761,7979,8409,8766,9378,10021,10489,11074,11625,12056,13022,13513,14167,14714,15549,16299,16974,17550
"광주광역시",7985,8426,8686,9175,9657,10499,10997,11665,12180,13107,13464,13927,14528,14849,15341,16105,16575,17343
"대전광역시",8047,8461,8864,9391,9912,10697,11313,11963,12439,13229,14205,14801,15280,15721,16207,17064,17680,18454
"울산광역시",9714,10394,10952,11517,12667,13555,13931,15380,16046,16260,17329,18507,18694,19011,19238,19963,19496,19912
"경기도",8865,9126,9672,9952,10554,11181,11583,12084,12592,12697,13592,14303,14773,15384,16131,17130,17752,18580
"강원도",7485,7833,8294,8676,9284,9681,10090,10779,11194,11908,12499,12775,13304,13600,14454,15142,15542,16583
"충청북도",7834,8093,8538,9006,9621,10286,10783,11354,11845,12287,13122,13341,14061,14456,14761,15658,16158,17030
"충청남도",8092,8280,8610,9047,9966,10171,10645,11184,11564,11870,13299,13472,14239,15122,15727,16303,16666,17613
"전라북도",7611,8086,8195,8668,9289,9840,10316,11150,11666,12225,12828,13542,13711,14447,14994,15849,16052,16848
"전라남도",7148,7579,7768,8317,9017,9495,9926,10639,11148,11664,12429,12675,13018,13484,13829,14703,14971,15938
"경상북도",7938,8165,8647,8898,9687,10332,10670,11260,11764,12212,12883,13395,13966,14435,14901,15462,15653,16504
"경상남도",7855,8412,8697,9156,9828,10425,10952,11680,12412,12699,13431,14016,14201,14876,15575,16293,16326,16864
"제주특별자치도",8512,8477,9084,9395,9689,10746,10867,11501,11949,13598,13683,14593,15059,15429,15537,16247,16607,17464
